,UF,Cidade,Nome,Funcao
0,AM,Borba,ALBERT ANTUNES DE SOUZA CAMPOS ,Secretário(a) de Saúde
1,PA,Quatipuru,Joaquim Luciano da Silva Reis,Secretário(a) de Saúde
2,PA,TerraAlta,Arivaldo Vidal Aguiar,Secretário(a) de Saúde
3,TO,Filadélfia,ARYANNA MARINHO MEDEIROS BENTO,Secretário(a) de Saúde
4,TO,MonteSantodoTocantins,PABLO MARTINS DOS SANTOS,Secretário(a) de Saúde
5,TO,Tupiratins,MARIA LÚCIA DUARTE CAMELO,Secretário(a) de Saúde
6,MA,CachoeiraGrande,IVANILSON ALVES PEREIRA,Secretário(a) de Saúde
7,MA,DuqueBacelar,Ana Leonor Batista Burlamaqui,Secretário(a) de Saúde
8,MA,LagodaPedra,ALMIRALICE MENDES PEREIRA,Secretário(a) de Saúde
9,PI,Acauã,JOAQUIM CICERO RODRIGUES,Secretário(a) de Saúde
10,PI,AltoLongá,EDILEUSA SARAIVA  DE ARÊA LEÃO,Secretário(a) de Saúde
11,PI,PratadoPiauí,JAINE DA CRUZ ALVES DE MOURA ALMEIDA,Secretário(a) de Saúde
12,PE,IlhadeItamaracá,GLADYS ACCIOLY DE MENEZES BARROS E SILVA,Secretário(a) de Saúde
13,PE,SantaTerezinha,Valéria Dayane Nunes Ferreira,Secretário(a) de Saúde
14,PE,Terezinha,Maria Aparecida Santos Cordeiro de Carvalho,Secretário(a) de Saúde
15,AL,GiraudoPonciano,MARIA GORETE SANTOS SANTANA,Secretário(a) de Saúde
16,AL,Ibateguara,ELAINE DUDA,Secretário(a) de Saúde
17,SE,SãoCristóvão,FERNANDA RODRIGUES DE SANTANA GÓES,Secretário(a) de Saúde
18,MG,Açucena,JOSILENE APARECIDA AMARAL BARBOSA,Secretário(a) de Saúde
19,MG,Araújos,MARCOS EVANGELISTA COUTO,Secretário(a) de Saúde
20,MG,AstolfoDutra,ROSANGELA RUZA,Secretário(a) de Saúde
21,MG,Baldim,RODRIGO VICENTE RODRIGUES,Secretário(a) de Saúde
22,MG,BarraLonga,LEORNADO DE CARVALHO ROLDÃO,Secretário(a) de Saúde
23,MG,BrásPires,LETICIA  RIVELLI DE OLIVEIRA,Secretário(a) de Saúde
24,MG,CapitãoAndrade,RONALDO LUCIANO DE PAULO,Secretário(a) de Saúde
25,MG,Caraí,ERIK RODRIGUES DE SOUZA  BICALHO,Secretário(a) de Saúde
26,MG,Careaçu,EUGÊNIO RIBEIRO DOS SANTOS NETO,Secretário(a) de Saúde
27,MG,Catuji,AILTON BATISTA DE FREITAS,Secretário(a) de Saúde
28,MG,ComendadorGomes,MARIA JOSÉ ALVES PEREIRA RODRIGUES,Secretário(a) de Saúde
29,MG,Comercinho,THIAGO ORNELAS GUSMÃO,Secretário(a) de Saúde
30,MG,ConceiçãodaAparecida,EDSON SOARES DA COSTA,Secretário(a) de Saúde
31,MG,ConceiçãodeIpanema,ALESSANDRO PAULO LEMOS SANTOS,Secretário(a) de Saúde
32,MG,Coroaci,DENYS JUNIOR DE LIMA,Secretário(a) de Saúde
33,MG,CórregoDanta,MARIANA COIMBRA FERREIRA ,Secretário(a) de Saúde
34,MG,Crisólita,LUCIONE FREITAS CAPISTRANO FARIAS,Secretário(a) de Saúde
35,MG,Dionísio,WILSON CLEBER DE VASCONCELOS,Secretário(a) de Saúde
36,MG,DoresdoTurvo,BENJAMIM AUGUSTO MAROTTA,Secretário(a) de Saúde
37,MG,EntreFolhas,ANTONIO DOS SANTOS VIEIRA NETO,Secretário(a) de Saúde
38,MG,EstrelaDalva,ELLEN CRISTHIAN DOS SANTOS DIAS ,Secretário(a) de Saúde
39,MG,Fervedouro,FABRIZIA VIANA DE SOUZA CHICARELLI,Secretário(a) de Saúde
40,MG,Gouveia,NILMARA LUCIA RODRIGUES PAULINO,Secretário(a) de Saúde
41,MG,Iapu,GIZELLE GONÇALVES MOREIRA PINTO,Secretário(a) de Saúde
42,MG,Itanhomi,JOSE ANASTACIO RAMOS,Secretário(a) de Saúde
43,MG,Itumirim,EVA MARCELE DE LIMA,Secretário(a) de Saúde
44,MG,JenipapodeMinas,WESLLEY VIANA SILVA,Secretário(a) de Saúde
45,MG,Jequitibá,MUCIO  EDUARDO DA SILVA,Secretário(a) de Saúde
46,MG,Ladainha,FABÍO PERES DOS SANTOS,Secretário(a) de Saúde
47,MG,Lontra,MARIEL MENDES LOPES,Secretário(a) de Saúde
48,MG,Luminárias,MARCOS RODRIGUES MEDEIROS,Secretário(a) de Saúde
49,MG,Machacalis,RONEY MASCARENHAS DE OLIVEIRA,Secretário(a) de Saúde
50,MG,MatiasCardoso,EUJACIO JESUS,Secretário(a) de Saúde
51,MG,Montezuma,ALDINETE AMORIM,Secretário(a) de Saúde
52,MG,NovaSerrana,GLAUCIA SBAMPATO PEREIRA,Secretário(a) de Saúde
53,MG,NovoCruzeiro,ERIDIANE ALVES DOS SANTOS,Secretário(a) de Saúde
54,MG,PaulaCândido,ROGÉRIO CARDOSO DE DINIZ,Secretário(a) de Saúde
55,MG,PiedadedoRioGrande,PRISCILA NOGUEIRA TEIXEIRA ,Secretário(a) de Saúde
56,MG,Pimenta,LINARA  MIRELLE DOMINGOS,Secretário(a) de Saúde
57,MG,Pompéu,FERNANDA GUIMARÃES CORDEIRO ,Secretário(a) de Saúde
58,MG,Poté,OTAVIO FERREIRA NETO,Secretário(a) de Saúde
59,MG,PresidenteBernardes,CLAUDIANE APARECIDA DOS SANTOS,Secretário(a) de Saúde
60,MG,PresidenteOlegário,CLÊNIA CECÍLIA COELHO,Secretário(a) de Saúde
61,MG,Recreio,GABRIELA HELENA DE PAULA,Secretário(a) de Saúde
62,MG,Resplendor,AGNALDO DE OLIVEIRA SOUSA,Secretário(a) de Saúde
63,MG,SantaBárbaradoMonteVerde,ALEXANDRE NOGUEIRA DE ALMEIDA,Secretário(a) de Saúde
64,MG,SantaMariadeItabira,JANAÍNA MACHADO DOS SANTOS,Secretário(a) de Saúde
65,MG,SantanadePirapama,ANDREÁ GONÇALVES DA CUNHA,Secretário(a) de Saúde
66,MG,SantaRitadeCaldas,RAISSA MICHEL SALLOUM EL NAHOUM,Secretário(a) de Saúde
67,MG,SãoJoãodoManteninha,MARCOS VINICIUS DE PAULA ,Secretário(a) de Saúde
68,MG,SãoJoãodoParaíso,MÔNICA CRISTINA DE OLIVEIRA SILVA,Secretário(a) de Saúde
69,MG,SãoPedrodaUnião,MARILZA SILVEIRA SILVA,Secretário(a) de Saúde
70,MG,SãoSebastiãodoMaranhão,SABRINA MESQUITA LIMA,Secretário(a) de Saúde
71,MG,SenhoradoPorto,JORGE DE AGUIAR MOURÃO,Secretário(a) de Saúde
72,MG,Tapiraí,ALESSANDRA DE LIMA SOUZA SENHA,Secretário(a) de Saúde
73,MG,Turmalina,ANDERSON VIANA DA SILVA,Secretário(a) de Saúde
74,MG,Umburatiba,ADILSON ALVES DE BRITO,Secretário(a) de Saúde
